ano,name_model,Erro_days,R2,MAE,RMSE,TP,FP,FN,TN,Recall,Precision,F1,MedAE
2020,XGBoost_regressao_talhao,11.09809530085588,-0.0726088285446167,11.09809530085588,15.036570359188776,933,1857,658,0,0.5864236329352609,0.33440860215053764,0.42593015293312037,7.319721221923828
2021,XGBoost_regressao_talhao,14.602476993038078,-0.2993311882019043,14.602476993038078,17.959297436006903,114,449,123,0,0.4810126582278481,0.2024866785079929,0.285,13.448692321777344
2022,XGBoost_regressao_talhao,7.383222808837891,0.0,7.383222808837891,8.650581850500517,14,2,34,0,0.2916666666666667,0.875,0.43750000000000006,9.310070037841797
2004,RF_regressao_talhao,12.477191273607769,-0.21023970538250536,12.477191273607769,15.946813060905008,545,902,1598,0,0.2543163789080728,0.3766413268832066,0.3036211699164345,9.534999999999997
2005,RF_regressao_talhao,11.893531679390055,-0.34807044108980945,11.893531679390055,15.144439027642584,1128,2116,2919,0,0.2787249814677539,0.3477188655980271,0.3094225757783569,9.909999999999997
2006,RF_regressao_talhao,11.352169371851435,-0.006652309872742457,11.352169371851435,14.910544887510738,3594,5906,7944,0,0.31149245969838796,0.3783157894736842,0.34166745888392436,8.735
2007,RF_regressao_talhao,10.652410057281065,-0.038979349921436146,10.652410057281065,14.556943014135529,7473,12831,11656,0,0.3906633906633907,0.3680555555555556,0.37902264600715135,7.189999999999998
2008,RF_regressao_talhao,12.110703008435792,-0.17725896703942157,12.110703008435792,16.735378790680436,12345,24273,13169,0,0.4838520028219801,0.337129280681632,0.3973797720981137,8.739999999999995
2009,RF_regressao_talhao,10.713101836069157,0.04317117218063826,10.713101836069157,14.15491638495681,1572,2844,2588,0,0.3778846153846154,0.35597826086956524,0.3666044776119403,8.109390151515143
2010,RF_regressao_talhao,12.516910715016406,0.12668912106121655,12.516910715016406,17.906946265679537,2237,4681,2080,0,0.5181839240213111,0.3233593524139925,0.39821984868713844,7.2008333333333425
2011,RF_regressao_talhao,16.584344926369923,-0.7850545576683474,16.584344926369923,21.374644645243144,59,121,360,0,0.14081145584725538,0.3277777777777778,0.1969949916527546,13.21116666666667
2012,RF_regressao_talhao,12.007343113385808,-0.04646492290924997,12.007343113385808,16.08685958655229,656,1906,866,0,0.43101182654402104,0.25604996096799376,0.32125367286973555,9.311250000000001
2013,RF_regressao_talhao,10.450454210596522,-0.8541804339351602,10.450454210596522,13.343749636213415,390,1138,797,0,0.32855939342881213,0.25523560209424084,0.287292817679558,8.650000000000006
2014,RF_regressao_talhao,11.141174153785792,0.12447297010535574,11.141174153785792,14.472093255739052,515,812,1095,0,0.3198757763975155,0.38809344385832706,0.35069799114742933,8.903404761904767
2015,RF_regressao_talhao,10.755156619682984,0.27083045751566104,10.755156619682984,13.975404693079991,539,1092,1035,0,0.34243964421855144,0.33047210300429186,0.33634945397815913,8.849999999999998
2016,RF_regressao_talhao,11.234751338691888,0.08124684866981469,11.234751338691888,14.818861937067231,506,1221,901,0,0.35963041933191187,0.2929936305732484,0.3229100191448627,8.760000000000005
2017,RF_regressao_talhao,8.375045442301687,-0.08161977666034681,8.375045442301687,11.350250576814107,951,1453,892,0,0.5160065111231688,0.3955906821963394,0.44784553802684246,6.131666666666668
2018,RF_regressao_talhao,12.801172022731787,0.0030553593780807686,12.801172022731787,17.38003727820784,311,420,784,0,0.28401826484018267,0.42544459644322846,0.34063526834611174,8.379999999999995
2019,RF_regressao_talhao,14.779147413592195,-0.1990170433890699,14.779147413592195,19.70386273654143,438,1459,523,0,0.4557752341311134,0.23089088033737482,0.3065080475857243,10.28953282828283
2020,RF_regressao_talhao,11.458040554904432,-0.1297630735074251,11.458040554904432,15.43198481467377,873,1842,733,0,0.5435865504358655,0.32154696132596683,0.40407313121962507,7.890000000000001
2021,RF_regressao_talhao,18.75399811147584,-1.4316163067836074,18.75399811147584,24.568404441218387,55,458,173,0,0.2412280701754386,0.10721247563352826,0.14844804318488528,13.971000000000004
2022,RF_regressao_talhao,6.143041538461539,0.0,6.143041538461539,8.26751875973901,20,3,27,0,0.425531914893617,0.8695652173913043,0.5714285714285714,4.03125
2004,XGB_classificador_temp,6.2898550724637685,0.7829928874969483,0.14160027472971307,0.2329157566793829,235,60,273,2477,0.4625984251968504,0.7966101694915254
2005,XGB_classificador_temp,7.992248062015504,0.7869590282440185,0.13974488461671503,0.23077393761679468,474,115,500,5074,0.486652977412731,0.8047538200339559
2006,XGB_classificador_temp,6.769230769230769,0.7895230770111084,0.1386988938065778,0.22937695047560153,1520,438,1133,14353,0.5729362985299661,0.7763023493360572
2007,XGB_classificador_temp,11.448275862068966,0.7853715181350708,0.1423317395879479,0.23163716018080707,3211,1669,928,26152,0.7757912539260691,0.6579918032786886
2008,XGB_classificador_temp,7.216756341275942,0.7786169528961182,0.14779781451243998,0.235246173371511,5011,1577,1289,41910,0.7953968253968254,0.7606253794778385
2009,XGB_classificador_temp,7.71578947368421,0.7836511731147766,0.1415314194621871,0.23253937107938333,646,222,414,5722,0.6094339622641509,0.7442396313364056
2010,XGB_classificador_temp,14.905882352941177,0.7869220614433289,0.14033822632916956,0.23079404191318803,946,1049,214,6789,0.8155172413793104,0.4741854636591479
2011,XGB_classificador_temp,5.25,0.780162763595581,0.1435360631411711,0.23441770224058125,40,8,40,452,0.5,0.8333333333333334
2012,XGB_classificador_temp,13.306306306306306,0.7805252075195312,0.1431633043899758,0.23423046286638707,402,449,46,2531,0.8973214285714286,0.47238542890716806
2013,XGB_classificador_temp,7.882352941176471,0.7790477871894836,0.1434607073901915,0.23500550932266653,256,43,44,1982,0.8533333333333334,0.8561872909698997
2014,XGB_classificador_temp,6.609375,0.7794662594795227,0.1440917666710244,0.2347840062361116,223,78,133,1988,0.6264044943820225,0.7408637873754153
2015,XGB_classificador_temp,8.36,0.7800346970558166,0.1433508310168664,0.23448078627840152,264,164,160,2078,0.6226415094339622,0.616822429906542
2016,XGB_classificador_temp,7.9324324324324325,0.7824841141700745,0.14254078667759412,0.2331633102054858,262,94,110,2162,0.7043010752688172,0.7359550561797753
2017,XGB_classificador_temp,7.989795918367347,0.7803668022155762,0.1426541822390901,0.23432238082380996,352,120,100,2724,0.7787610619469026,0.7457627118644068
2018,XGB_classificador_temp,8.934782608695652,0.7827832937240601,0.1420557943770135,0.2329865156541618,146,95,86,1188,0.6293103448275862,0.6058091286307054
2019,XGB_classificador_temp,11.257575757575758,0.7810239553451538,0.1429633354052696,0.2339388621272441,244,183,40,1953,0.8591549295774648,0.5714285714285714
2020,XGB_classificador_temp,13.24742268041237,0.7798702001571656,0.14343714848323322,0.23458632122071615,364,249,36,2799,0.91,0.5938009787928222
2021,XGB_classificador_temp,13.470588235294118,0.7787150144577026,0.14429092190076098,0.2351785497967164,65,66,7,548,0.9027777777777778,0.4961832061068702
2022,XGB_classificador_temp,6.0,0.7785858631134033,0.14358160132464598,0.23526681938068733,6,1,2,41,0.75,0.8571428571428571
